"Tree"	"Family"	"Genus"	"Species"	"Htrunc"	"Htot"	"DBH"	"Db"	"Dm"	"Dh"	"Wleaves"	"Wbranches"	"Wtrunc"	"AGB"	"Site"	"Worker"
"J1"	"Fabaceae"	"Albizzia"	"Albizzia mahaleo"	2.5	4.25	4.77464829275686	5.69774696268985	4.83831026999362	3.88338061144225	"NA"	3.99	4.46	8.45	"Fort-Dauphin-Dry"	"Sarobidy"
"J2"	"Fabaceae"	"Albizzia"	"Albizzia mahaleo"	2.3	4.4	5.25211312203255	6.36619772367581	5.4749300423612	4.45633840657307	"NA"	6.56	5.26	11.82	"Fort-Dauphin-Dry"	"Sarobidy"
"J3"	"Fabaceae"	"Albizzia"	"Albizzia mahaleo"	2.1	4.5	4.45633840657307	6.42985970091257	4.77464829275686	3.81971863420549	"NA"	4.4	3.93	8.33	"Fort-Dauphin-Dry"	"Sarobidy"
"J4"	"Fabaceae"	"Albizzia"	"Albizzia mahaleo"	3.35	5.65	8.40338099525207	9.39014164242183	7.95774715459477	6.42985970091257	"NA"	13.5	17.25	30.75	"Fort-Dauphin-Dry"	"Sarobidy"
"J5"	"Fabaceae"	"Albizzia"	"Albizzia tulearensis"	2.7	6.7	6.81183156433312	7.63943726841098	7.63943726841098	5.72957795130823	"NA"	8.25	9.15	17.4	"Fort-Dauphin-Dry"	"Sarobidy"
"J6"	"Fabaceae"	"Albizzia"	"Albizzia tulearensis"	2.8	5.7	5.92056388301851	7.0028174960434	5.79323992854499	4.83831026999362	"NA"	5.63	7.06	12.69	"Fort-Dauphin-Dry"	"Sarobidy"
"J7"	"Fabaceae"	"Albizzia"	"Albizzia tulearensis"	1.5	5.3	12.2867616066943	13.687325105903	12.7323954473516	12.2549306180759	"NA"	49	20.52	69.52	"Fort-Dauphin-Dry"	"Sarobidy"
"J8"	"Fabaceae"	"Albizzia"	"Albizzia tulearensis"	3.21	5.9	10.5678882213019	12.5732405042597	10.0267614147894	8.59436692696235	"NA"	22.25	26.99	49.24	"Fort-Dauphin-Dry"	"Sarobidy"
"J9"	"Fabaceae"	"Albizzia"	"Albizzia tulearensis"	3.95	7.7	10.1859163578813	12.9870433562987	9.61295856275048	8.43521198387045	"NA"	22.25	33.25	55.5	"Fort-Dauphin-Dry"	"Sarobidy"
"F1"	"Flacourtiaceae"	"Albizzia"	"Albizzia sp."	9	12	10	12	9	7	5	25	61	91	"Fort-Dauphin-Moist"	"Sarobidy"
