"Tree"	"Family"	"Genus"	"Species"	"TreePart"	"MoistWeight"	"MoistVol1"	"DryWeight"	"MoistVol2"	"Site"	"Worker"
"Eug1"	"Anacardiaceae"	"Rhus"	"Rhus tarantana"	"br"	211	184.7	8.12	15.4	"Bealanana"	"Hasina"
"Eug1"	"Anacardiaceae"	"Rhus"	"Rhus tarantana"	"tr.b"	511	460.9	10.29	15.6	"Bealanana"	"Hasina"
"Eug1"	"Anacardiaceae"	"Rhus"	"Rhus tarantana"	"tr.h"	418	400.75	6.24	10.5	"Bealanana"	"Hasina"
"Eug1"	"Anacardiaceae"	"Rhus"	"Rhus tarantana"	"tr.m"	537	519	10.06	16.9	"Bealanana"	"Hasina"
"Sym1"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"tr.h"	45	41	6.153	9.6	"Ivohibe"	"Zafyson"
"Sym1"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"tr.m"	64	57	3.749	6.2	"Ivohibe"	"Zafyson"
"Sym1"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"tr.b"	65	59	7.338	11.2	"Ivohibe"	"Zafyson"
"Sym1"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"br"	13	11	3.304	5	"Ivohibe"	"Zafyson"
"Sym2"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"tr.h"	35	31	4.106	6.2	"Ivohibe"	"Zafyson"
"Sym2"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"tr.m"	48	40	3.645	5.7	"Ivohibe"	"Zafyson"
"Sym2"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"tr.b"	77	69	5.664	8.3	"Ivohibe"	"Zafyson"
"Sym2"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	"br"	37	32	5.637	8.9	"Ivohibe"	"Zafyson"
"K1"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"br"	"NA"	"NA"	"NA"	"NA"	"Fort-Dauphin-Dry"	"Sarobidy"
"K1"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"b"	55.106	58.1	6.5	58.1	"Fort-Dauphin-Dry"	"Sarobidy"
"K1"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"m"	"NA"	"NA"	"NA"	"NA"	"Fort-Dauphin-Dry"	"Sarobidy"
"K1"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"h"	20.757	21.9	2.287	21.9	"Fort-Dauphin-Dry"	"Sarobidy"
"K2"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"br"	"NA"	"NA"	"NA"	"NA"	"Fort-Dauphin-Dry"	"Sarobidy"
