tree,species,latin_binomial,family,tree_part,wsg,region,village,lat,lon
001_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,branch,0.576,Bealanana,Analila,-14.453611,49.046389
001_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_base,0.61,Bealanana,Analila,-14.453611,49.046389
001_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_middle,0.605,Bealanana,Analila,-14.453611,49.046389
001_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_top,0.544,Bealanana,Analila,-14.453611,49.046389
002_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,branch,0.575,Bealanana,Analila,-14.453611,49.046389
002_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_base,0.55,Bealanana,Analila,-14.453611,49.046389
002_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_middle,0.588,Bealanana,Analila,-14.453611,49.046389
002_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_top,0.535,Bealanana,Analila,-14.453611,49.046389
003_Bealanana,Bathiorhamnus sp. Capuron,Bathiorhamnus sp.,Rhamnaceae,branch,0.54,Bealanana,Analila,-14.453611,49.046389
003_Bealanana,Bathiorhamnus sp. Capuron,Bathiorhamnus sp.,Rhamnaceae,trunk_base,0.573,Bealanana,Analila,-14.453611,49.046389
003_Bealanana,Bathiorhamnus sp. Capuron,Bathiorhamnus sp.,Rhamnaceae,trunk_middle,0.628,Bealanana,Analila,-14.453611,49.046389
003_Bealanana,Bathiorhamnus sp. Capuron,Bathiorhamnus sp.,Rhamnaceae,trunk_top,0.543,Bealanana,Analila,-14.453611,49.046389
004_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,branch,0.661,Bealanana,Analila,-14.453611,49.046389
004_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_base,0.665,Bealanana,Analila,-14.453611,49.046389
004_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_middle,0.702,Bealanana,Analila,-14.453611,49.046389
004_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_top,0.711,Bealanana,Analila,-14.453611,49.046389
005_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,branch,0.681,Bealanana,Analila,-14.453611,49.046389
005_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_base,0.679,Bealanana,Analila,-14.453611,49.046389
005_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_middle,0.622,Bealanana,Analila,-14.453611,49.046389
005_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,trunk_top,0.616,Bealanana,Analila,-14.453611,49.046389
006_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,branch,0.608,Bealanana,Analila,-14.453611,49.046389
006_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_base,0.593,Bealanana,Analila,-14.453611,49.046389
006_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_middle,0.646,Bealanana,Analila,-14.453611,49.046389
006_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_top,0.663,Bealanana,Analila,-14.453611,49.046389
007_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,branch,0.539,Bealanana,Analila,-14.453611,49.046389
007_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_base,0.565,Bealanana,Analila,-14.453611,49.046389
007_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_middle,0.587,Bealanana,Analila,-14.453611,49.046389
007_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_top,0.581,Bealanana,Analila,-14.453611,49.046389
008_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,branch,0.688,Bealanana,Analila,-14.453611,49.046389
008_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_base,0.607,Bealanana,Analila,-14.453611,49.046389
008_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_middle,0.685,Bealanana,Analila,-14.453611,49.046389
008_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_top,0.671,Bealanana,Analila,-14.453611,49.046389
009_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,branch,0.635,Bealanana,Analila,-14.453611,49.046389
009_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_base,0.59,Bealanana,Analila,-14.453611,49.046389
009_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_middle,0.613,Bealanana,Analila,-14.453611,49.046389
009_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_top,0.606,Bealanana,Analila,-14.453611,49.046389
010_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,branch,0.621,Bealanana,Analila,-14.453611,49.046389
010_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_base,0.582,Bealanana,Analila,-14.453611,49.046389
010_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_middle,0.572,Bealanana,Analila,-14.453611,49.046389
010_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_top,0.563,Bealanana,Analila,-14.453611,49.046389
011_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,branch,0.67,Bealanana,Analila,-14.453611,49.046389
011_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_base,0.614,Bealanana,Analila,-14.453611,49.046389
011_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_middle,0.622,Bealanana,Analila,-14.453611,49.046389
011_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,trunk_top,0.646,Bealanana,Analila,-14.453611,49.046389
012_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.761,Bealanana,Analila,-14.453611,49.046389
012_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.802,Bealanana,Analila,-14.453611,49.046389
012_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.815,Bealanana,Analila,-14.453611,49.046389
012_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.776,Bealanana,Analila,-14.453611,49.046389
013_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.783,Bealanana,Analila,-14.453611,49.046389
013_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.908,Bealanana,Analila,-14.453611,49.046389
013_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.852,Bealanana,Analila,-14.453611,49.046389
014_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.853,Bealanana,Analila,-14.453611,49.046389
014_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.755,Bealanana,Analila,-14.453611,49.046389
014_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.829,Bealanana,Analila,-14.453611,49.046389
014_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.793,Bealanana,Analila,-14.453611,49.046389
015_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.764,Bealanana,Analila,-14.453611,49.046389
015_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.775,Bealanana,Analila,-14.453611,49.046389
015_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.805,Bealanana,Analila,-14.453611,49.046389
015_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.794,Bealanana,Analila,-14.453611,49.046389
016_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.773,Bealanana,Analila,-14.453611,49.046389
016_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.698,Bealanana,Analila,-14.453611,49.046389
016_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.672,Bealanana,Analila,-14.453611,49.046389
016_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.764,Bealanana,Analila,-14.453611,49.046389
017_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.832,Bealanana,Analila,-14.453611,49.046389
017_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.805,Bealanana,Analila,-14.453611,49.046389
017_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.872,Bealanana,Analila,-14.453611,49.046389
017_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.799,Bealanana,Analila,-14.453611,49.046389
018_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.782,Bealanana,Analila,-14.453611,49.046389
018_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.719,Bealanana,Analila,-14.453611,49.046389
018_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.787,Bealanana,Analila,-14.453611,49.046389
018_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.77,Bealanana,Analila,-14.453611,49.046389
019_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.86,Bealanana,Analila,-14.453611,49.046389
019_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.79,Bealanana,Analila,-14.453611,49.046389
019_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.7,Bealanana,Analila,-14.453611,49.046389
019_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.791,Bealanana,Analila,-14.453611,49.046389
020_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,branch,0.824,Bealanana,Analila,-14.453611,49.046389
020_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_base,0.828,Bealanana,Analila,-14.453611,49.046389
020_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_middle,0.835,Bealanana,Analila,-14.453611,49.046389
020_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,trunk_top,0.827,Bealanana,Analila,-14.453611,49.046389
021_Bealanana,Croton mongue Baill.,Croton mongue,Euphorbiaceae,branch,0.517,Bealanana,Analila,-14.453611,49.046389
021_Bealanana,Croton mongue Baill.,Croton mongue,Euphorbiaceae,trunk_base,0.515,Bealanana,Analila,-14.453611,49.046389
021_Bealanana,Croton mongue Baill.,Croton mongue,Euphorbiaceae,trunk_middle,0.554,Bealanana,Analila,-14.453611,49.046389
021_Bealanana,Croton mongue Baill.,Croton mongue,Euphorbiaceae,trunk_top,0.521,Bealanana,Analila,-14.453611,49.046389
022_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,branch,0.625,Bealanana,Analila,-14.453611,49.046389
022_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_base,0.631,Bealanana,Analila,-14.453611,49.046389
022_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_middle,0.665,Bealanana,Analila,-14.453611,49.046389
022_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_top,0.71,Bealanana,Analila,-14.453611,49.046389
023_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,branch,0.708,Bealanana,Analila,-14.453611,49.046389
023_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_base,0.723,Bealanana,Analila,-14.453611,49.046389
023_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_middle,0.71,Bealanana,Analila,-14.453611,49.046389
023_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_top,0.722,Bealanana,Analila,-14.453611,49.046389
024_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,branch,0.385,Bealanana,Analila,-14.453611,49.046389
024_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_base,0.334,Bealanana,Analila,-14.453611,49.046389
024_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_middle,0.331,Bealanana,Analila,-14.453611,49.046389
024_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_top,0.362,Bealanana,Analila,-14.453611,49.046389
025_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,branch,0.558,Bealanana,Analila,-14.453611,49.046389
025_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_base,0.728,Bealanana,Analila,-14.453611,49.046389
025_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_middle,0.716,Bealanana,Analila,-14.453611,49.046389
025_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_top,0.671,Bealanana,Analila,-14.453611,49.046389
026_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,branch,0.646,Bealanana,Analila,-14.453611,49.046389
026_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_base,0.695,Bealanana,Analila,-14.453611,49.046389
026_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_middle,0.721,Bealanana,Analila,-14.453611,49.046389
026_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_top,0.456,Bealanana,Analila,-14.453611,49.046389
027_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,branch,0.47,Bealanana,Analila,-14.453611,49.046389
027_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_base,0.331,Bealanana,Analila,-14.453611,49.046389
027_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_middle,0.343,Bealanana,Analila,-14.453611,49.046389
027_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_top,0.372,Bealanana,Analila,-14.453611,49.046389
028_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,branch,0.594,Bealanana,Analila,-14.453611,49.046389
028_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_base,0.601,Bealanana,Analila,-14.453611,49.046389
028_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_middle,0.636,Bealanana,Analila,-14.453611,49.046389
028_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,trunk_top,0.614,Bealanana,Analila,-14.453611,49.046389
029_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,branch,0.481,Bealanana,Analila,-14.453611,49.046389
029_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_base,0.345,Bealanana,Analila,-14.453611,49.046389
029_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_middle,0.349,Bealanana,Analila,-14.453611,49.046389
029_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,trunk_top,0.386,Bealanana,Analila,-14.453611,49.046389
030_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.589,Bealanana,Analila,-14.453611,49.046389
030_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.703,Bealanana,Analila,-14.453611,49.046389
030_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.546,Bealanana,Analila,-14.453611,49.046389
030_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.562,Bealanana,Analila,-14.453611,49.046389
031_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.616,Bealanana,Analila,-14.453611,49.046389
031_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.547,Bealanana,Analila,-14.453611,49.046389
031_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.554,Bealanana,Analila,-14.453611,49.046389
031_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.631,Bealanana,Analila,-14.453611,49.046389
032_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.576,Bealanana,Analila,-14.453611,49.046389
032_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.648,Bealanana,Analila,-14.453611,49.046389
032_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.592,Bealanana,Analila,-14.453611,49.046389
032_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.589,Bealanana,Analila,-14.453611,49.046389
033_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.577,Bealanana,Analila,-14.453611,49.046389
033_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.663,Bealanana,Analila,-14.453611,49.046389
033_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.621,Bealanana,Analila,-14.453611,49.046389
033_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.606,Bealanana,Analila,-14.453611,49.046389
034_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.49,Bealanana,Analila,-14.453611,49.046389
034_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.642,Bealanana,Analila,-14.453611,49.046389
034_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.565,Bealanana,Analila,-14.453611,49.046389
034_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.502,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.492,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.569,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.528,Bealanana,Analila,-14.453611,49.046389
035_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.564,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.506,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.562,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.572,Bealanana,Analila,-14.453611,49.046389
036_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.491,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.593,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.567,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.508,Bealanana,Analila,-14.453611,49.046389
037_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.532,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,branch,0.539,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_base,0.625,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_middle,0.578,Bealanana,Analila,-14.453611,49.046389
038_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,trunk_top,0.551,Bealanana,Analila,-14.453611,49.046389
039_Bealanana,Rhus tarantana (Baker) H. Perrier,Rhus tarantana,Anacardiaceae,branch,0.521,Bealanana,Analila,-14.453611,49.046389
