tree,species,latin_binomial,family,region,village,lat,lon,wsg
001_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,Bealanana,Analila,-14.453611,49.046389,0.584
002_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,Bealanana,Analila,-14.453611,49.046389,0.562
003_Bealanana,Bathiorhamnus sp. Capuron,Bathiorhamnus sp.,Rhamnaceae,Bealanana,Analila,-14.453611,49.046389,0.571
004_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,Bealanana,Analila,-14.453611,49.046389,0.685
005_Bealanana,Trophis montana (Leandri) C.C. Berg,Trophis montana,Moraceae,Bealanana,Analila,-14.453611,49.046389,0.649
006_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,Bealanana,Analila,-14.453611,49.046389,0.627
007_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,Bealanana,Analila,-14.453611,49.046389,0.568
008_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,Bealanana,Analila,-14.453611,49.046389,0.663
009_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,Bealanana,Analila,-14.453611,49.046389,0.611
010_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,Bealanana,Analila,-14.453611,49.046389,0.585
011_Bealanana,Aphloia theiformis (Val.) Benn.,Aphloia theiformis,Aphloiaceae,Bealanana,Analila,-14.453611,49.046389,0.638
012_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.788
013_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.848
014_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.807
015_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.784
016_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.727
017_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.827
018_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.764
019_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.785
020_Bealanana,Anthocleista madagascariensis Baker,Anthocleista madagascariensis,Gentianaceae,Bealanana,Analila,-14.453611,49.046389,0.829
021_Bealanana,Croton mongue Baill.,Croton mongue,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.527
022_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.658
023_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.716
024_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.353
025_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.668
026_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.629
027_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.379
028_Bealanana,Croton argyrodaphne Baill.,Croton argyrodaphne,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.611
029_Bealanana,Croton sp. L.,Croton sp.,Euphorbiaceae,Bealanana,Analila,-14.453611,49.046389,0.39
030_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,Bealanana,Analila,-14.453611,49.046389,0.6
031_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,Bealanana,Analila,-14.453611,49.046389,0.587
032_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,Bealanana,Analila,-14.453611,49.046389,0.601
033_Bealanana,Chrysophyllum boivinianum (Pierre) Baehni,Chrysophyllum boivinianum,Sapotaceae,Bealanana,Analila,-14.453611,49.046389,0.617
