Tree	Locality	Latin_Binomial	Family	Trunk_diameter_cm	Total_height_m	Dry_weight_branch_kg	Dry_weight_trunk_kg	Dry_weight_leaf_kg	Dry_total_AGB_kg	Wood_specific_gravity	Forest_type
1	Fort-Dauphin-Dry	Albizzia mahaleo	Fabaceae	4.45633840657307	4.5	2.47488172756628	2.21051936121261	NA	4.68540108877888	0.580463009928677	dry
2	Fort-Dauphin-Dry	Albizzia mahaleo	Fabaceae	4.77464829275686	4.25	2.51152502027339	2.80736881965396	NA	5.31889383992735	0.619155755417199	dry
3	Fort-Dauphin-Dry	Albizzia mahaleo	Fabaceae	5.25211312203255	4.4	3.57799003078483	2.86893712834271	NA	6.44692715912754	0.526071974115955	dry
4	Fort-Dauphin-Dry	Albizzia mahaleo	Fabaceae	8.40338099525207	5.65	7.6467742955273	9.77087826650711	NA	17.4176525620344	0.558355374948442	dry
5	Fort-Dauphin-Dry	Albizzia tulearensis	Fabaceae	5.92056388301851	5.7	3.14639933610057	3.94557359020782	NA	7.09197292630839	0.544218600036679	dry
6	Fort-Dauphin-Dry	Albizzia tulearensis	Fabaceae	6.81183156433312	6.7	4.46617277591204	4.95339162419335	NA	9.41956440010538	0.518472443466193	dry
7	Fort-Dauphin-Dry	Albizzia tulearensis	Fabaceae	10.1859163578813	7.7	12.1748128752746	18.1938214877699	NA	30.3686343630445	0.572331218967107	dry
8	Fort-Dauphin-Dry	Albizzia tulearensis	Fabaceae	10.5678882213019	5.9	12.3759381476905	15.012430139603	NA	27.3883682872935	0.585764732277621	dry
9	Fort-Dauphin-Dry	Albizzia tulearensis	Fabaceae	12.2867616066943	5.3	23.858340681502	9.99128879151879	NA	33.8496294730208	0.511553690572768	dry
10	Fort-Dauphin-Dry	Alluaudia dumosa	Didiereaceae	5.85690190578175	3.4	NA	NA	NA	7.63224057892627	0.38965825671251	dry
11	Fort-Dauphin-Dry	Alluaudia dumosa	Didiereaceae	7.63943726841098	3.83	NA	NA	NA	14.9980829869002	0.415739897759796	dry
12	Fort-Dauphin-Dry	Alluaudia dumosa	Didiereaceae	23.5549315776005	7.26	NA	NA	NA	175.585111576533	0.426396827841045	dry
13	Fort-Dauphin-Dry	Alluaudia procera	Didiereaceae	5.09295817894065	3.53	NA	NA	NA	1.26085889503597	0.200134808559645	dry
14	Fort-Dauphin-Dry	Alluaudia procera	Didiereaceae	6.04788783749202	3.36	NA	NA	NA	1.67554413059731	0.270785562820279	dry
15	Fort-Dauphin-Dry	Alluaudia procera	Didiereaceae	8.91267681314614	6.8	NA	NA	NA	8.55399623007528	0.256422284597701	dry
16	Fort-Dauphin-Dry	Alluaudia procera	Didiereaceae	9.23098669932993	7.19	NA	NA	NA	8.34832955862506	0.272088177063028	dry
17	Fort-Dauphin-Dry	Alluaudia procera	Didiereaceae	13.687325105903	7.88	NA	NA	NA	24.1597547487205	0.274134076439465	dry
18	Fort-Dauphin-Dry	Alluaudia procera	Didiereaceae	14.9605646506382	7.47	NA	NA	NA	24.2274677995434	0.262856648437525	dry
19	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	2.89661996427249	3.34	1.63578611583528	0.785177335600933	NA	2.42096345143621	0.642411322924237	dry
20	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	3.24676083907466	3.86	1.65466502515899	1.20459613831575	NA	2.85926116347474	0.705372999744701	dry
21	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	3.5014087480217	4.73	1.68397863424866	2.30368277165216	NA	3.98766140590082	0.700626269843863	dry
22	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	5.18845114479579	5.29	5.06175736669979	3.61554097621413	NA	8.67729834291392	0.740689624644169	dry
23	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	5.3157750992693	5.8	4.38042873657564	3.56274870574819	NA	7.94317744232383	0.744301997440788	dry
24	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	5.72957795130823	5.09	6.84139593120469	4.7169624578306	NA	11.5583583890353	0.728318422185087	dry
25	Fort-Dauphin-Dry	Cedrelopsis grevei	Rutaceae	7.95774715459477	6.14	18.4156520042148	11.7323049643519	NA	30.1479569685667	0.797464646558771	dry
