Tree	Locality	Latin_Binomial	Family	Trunk_diameter_cm	Total_height_m	Dry_weight_branch_kg	Dry_weight_trunk_kg	Dry_weight_leaf_kg	Dry_total_AGB_kg	Wood_specific_gravity	Forest_type
1	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	10	13	15.5329452123622	40.3856575521418	9.31976712741733	65.2383698919213	0.688174077155921	moist-wet
2	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	10	12	14.762089203433	36.0194976563765	2.9524178406866	53.7340047004961	0.644589584879212	moist-wet
3	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	14	12	14.2968859498457	68.6250525592595	11.4375087598766	94.3594472689818	0.621035453971918	moist-wet
4	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	19	19	34.9651377801203	198.783283305499	34.3176352286366	268.066056314256	0.709301429158637	moist-wet
5	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	24	16	48.1269175768232	273.120257248471	113.098256305534	434.345431130829	0.671784438009329	moist-wet
6	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	28	20	35.2519539725308	284.579410250976	220.484948482738	540.316312706245	0.631881853857617	moist-wet
7	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	30	25	34.282602183803	447.478175872797	92.6231708123801	574.38394886898	0.626928371012549	moist-wet
8	Fort-Dauphin-Moist	Albizzia sp.	Flacourtiaceae	33	22	44.6710455420721	502.86834124504	297.381531751509	844.92091853862	0.647391160816202	moist-wet
9	Bealanana	Anthocleista madagascariensis	Loganiaceae	12.6	11.3	55.9037487275189	26.7872129319361	11.8129945227793	94.5039561822343	0.807616980790951	moist-wet
10	Bealanana	Anthocleista madagascariensis	Loganiaceae	14.5	10.5	67.2093977327055	30.9539465384725	26.5075232788024	124.67086754998	0.847571212250654	moist-wet
11	Bealanana	Anthocleista madagascariensis	Loganiaceae	15.2	11.4	34.8722051524934	38.2253018017717	20.1185798956693	93.2160868499344	0.78432609010557	moist-wet
12	Bealanana	Anthocleista madagascariensis	Loganiaceae	31	13.3	512.281924142292	104.94931579004	100.486661599554	717.717901531887	0.72677239728298	moist-wet
13	Bealanana	Anthocleista madagascariensis	Loganiaceae	32.1	17.05	437.907277182036	363.319602224633	129.26280320672	930.489682613389	0.827157244271497	moist-wet
14	Bealanana	Anthocleista madagascariensis	Loganiaceae	34.2	16.3	707.367859482788	274.838252192749	175.30493111448	1157.51104279002	0.788291477306751	moist-wet
15	Bealanana	Anthocleista madagascariensis	Loganiaceae	41.3	16.8	1273.27216928502	298.060675487502	209.466216388848	1780.79906116137	0.828540780570125	moist-wet
