Family,Species,GWD,MC,WSG,Study
Fabaceae,Albizia gummifera (J.F.Gmel.) C.A.Smith,,,0.48,2
Fabaceae,Albizia mahalao Capuron,0.95,42.32,0.57,1a
Fabaceae,Albizia sp. Durraz,0.98,44.33,0.56,1a
Fabaceae,Albizia sp. Durraz,1.06,38.18,0.66,1b
Fabaceae,Albizia tulearensis R. Vig.,1.01,45.92,0.55,1a
Didieraceae,Alluaudia dumosa (Drake) Drake,1.05,60.78,0.41,1a
Didieraceae,Alluaudia procera (Drake) Drake,0.99,73.82,0.26,*1a
Didieraceae,Alluaudia procera (Drake) Drake,,,0.34,*2
Didieraceae,Alluaudia sp. (Drake) Drake,1.01,69.47,0.31,1a
Annonaceae,Ambavia capuronii Cavaco & Keraudren,,,0.51,2
Euphorbiaceae,Androstachys johnsonii Prain,,,0.76,2
Gentianaceae,Anthocleista madagascariensis Baker,1.21,34.22,0.79,1b
Gentianaceae,Anthocleista sp. Afzel. ex R. Br.,1.21,34.22,0.79,*1b
Gentianaceae,Anthocleista sp. Afzel. ex R. Br.,,,0.75,*2
Euphorbiaceae,Anthostema madagascariense Baill.,,,0.46,2
Aphloiaceae,Aphloia sp. (DC.) Benn.,1.17,47.73,0.62,1b
Aphloiaceae,Aphloia theiformis (Val.) Benn.,1.17,47.73,0.62,1b
Lauraceae,Aspidostemon louvelii (Danguy) Rohwer,,,0.69,2
Lauraceae,Aspidostemon scintilans (Kosterm.) Rohwer,,,0.73,2
Asteropeiaceae,Asteropeia multiflora Thouars,,,0.79,2
Asteropeiaceae,Asteropeia rhopalodes Baill.,,,0.79,2
Celastraceae,Astrocassine pleurostylioides (H.Perrier) Capuron,,,0.65,2
Meliaceae,Astrotrichilia sp. (Harms) J.-F. Leroy ex T.D. Penn. & Styles,,,0.53,2
Rhamnaceae,Bathiorhamnus sp. Capuron,1.01,43.49,0.57,1b
Fabaceae,Baudouinia louvelii R. Vig.,,,0.77,2
Fabaceae,Bauhinia sp. L,,,0.56,2
Lauraceae,Beilschmiedia velutina Kosterm.,,,0.45,2
Salicaceae,Bembicia uniflora H. Perrier,,,0.69,2
Rhamnaceae,Berchemia discolor (Klotzsch) Hemsl.,,,0.79,2
Salicaceae,Bivinia jalberti Tul.,,,0.61,2
Asteraceae,Brachylaena merana (Baker) Humbert,,,0.75,2
Asteraceae,Brachylaena perrieri (Drake) Humbert,,,0.78,2
Asteraceae,Brachylaena ramiflora (DC.) Humbert,,,0.77,2
Rubiaceae,Breonadia microcephala (Del.) Ridsdale,,,0.77,2
Rubiaceae,Breonia louvelii Homolle,,,0.73,2
Rubiaceae,Breonia perrieri Homolle,,,0.72,2
Euphorbiaceae,Bridelia tulasneana Baill.,,,0.52,2
Myristicaceae,Brochoneura madagascariensis (Lam.) Warb.,0.83,39.22,0.5,1b
Myristicaceae,Brochoneura sp. Warb.,0.83,39.22,0.5,1b
Myristicaceae,Brochoneura vouri (Baill.) Warb.,,,0.59,2
Moraceae,Broussonetia greveana (Baill.) C.C. Berg,,,0.36,2
Calophyllaceae,Calophyllum inophyllum L.,,,0.73,2
Calophyllaceae,Calophyllum sp. L.,0.96,30.13,0.67,*1b
Calophyllaceae,Calophyllum sp. L.,,,0.65,*2
Ochnaceae,Campylospermum sp. Tiegh.,1.08,27.8,0.77,1b
Burseraceae,Canarium madagascariensis Engl.,,,0.49,2
Burseraceae,Canarium sp. L.,0.8,39.6,0.47,1b
Rubiaceae,Canthium sp. Lam.,,,0.84,2
Sapotaceae,Capurodendron sp. Aubrv.,,,0.8,2
Rhizophoraceae,Carallia brachiata (Lour.) Merr.,,,0.61,2
Meliaceae,Cedrelopsis grevei Baill.,1.03,28.29,0.74,*1a
Meliaceae,Cedrelopsis grevei Baill.,,,0.8,*2
Meliaceae,Cedrelopsis sp. Baill.,1.03,28.29,0.74,1a
Celtidaceae,Chaetachme aristata Baker,,,0.57,2
Rutaceae,Chloroxylon faho Capuron,,,0.77,2
Rutaceae,Chloroxylon falcatum Capuron,,,0.73,2
Sapotaceae,Chrysophyllum boivinianum (Pierre) Baehni,0.96,45.15,0.53,*1b
Sapotaceae,Chrysophyllum boivinianum (Pierre) Baehni,,,0.56,*2
Sapotaceae,Chrysophyllum sp. L.,0.96,45.15,0.53,*1b
Sapotaceae,Chrysophyllum sp. L.,,,0.61,*2
Bignoniaceae,Colea sp. Bojer ex Meisn.,1.17,34.41,0.77,1b
Rhamnaceae,Colubrina decipiens (Baill.) Capuron,,,0.66,2
Rhamnaceae,Colubrina faralaotra (H.Perrier) Capuron,,,0.61,2
Fabaceae,Colvillea racemosa Bojer,,,0.45,2
Burseraceae,Commiphora arafy H. Perrier,,,0.4,2
